Date, Expand Time
13-01-01, 18
13-01-02, 92
13-01-03, 262
13-01-04, 305
13-01-05, 43
13-01-06, 58
13-01-07, 282
13-01-08, 324
13-01-09, 342
13-01-10, 243
13-01-11, 229
13-01-12, 32
13-01-13, 59
13-01-14, 250
13-01-15, 276
13-01-16, 206
13-01-17, 258
13-01-18, 173
13-01-19, 12
13-01-20, 27
13-01-21, 90
13-01-22, 203
13-01-23, 264
13-01-24, 233
13-01-25, 159
13-01-26, 20
13-01-27, 59
13-01-28, 213
13-01-29, 276
13-01-30, 298
13-01-31, 313
13-02-01, 163
13-02-02, 21
13-02-03, 53
13-02-04, 327
13-02-05, 370
13-02-06, 308
13-02-07, 493
13-02-08, 220
13-02-09, 36
13-02-10, 91
13-02-11, 244
13-02-12, 382
13-02-13, 385
13-02-14, 291
13-02-15, 378
13-02-16, 43
13-02-17, 41
13-02-18, 162
13-02-19, 459
13-02-20, 416
13-02-21, 328
13-02-22, 258
13-02-23, 30
13-02-24, 124
13-02-25, 295
13-02-26, 332
13-02-27, 326
13-02-28, 329
13-03-01, 210
13-03-02, 44
13-03-03, 123
13-03-04, 288
13-03-05, 355
13-03-06, 256
13-03-07, 410
13-03-08, 223
13-03-09, 38
13-03-10, 74
13-03-11, 279
13-03-12, 305
13-03-13, 265
13-03-14, 296
13-03-15, 172
13-03-16, 32
13-03-17, 72
13-03-18, 264
13-03-19, 209
13-03-20, 300
13-03-21, 203
13-03-22, 184
13-03-23, 40
13-03-24, 66
13-03-25, 225
13-03-26, 317
13-03-27, 260
13-03-28, 184
13-03-29, 59
13-03-30, 21
13-03-31, 33
13-04-01, 139
13-04-02, 260
13-04-03, 193
13-04-04, 199
13-04-05, 152
13-04-06, 34
13-04-07, 85
13-04-08, 242
13-04-09, 321
13-04-10, 301
13-04-11, 325
13-04-12, 250
13-04-13, 37
13-04-14, 70
13-04-15, 239
13-04-16, 319
13-04-17, 342
13-04-18, 368
13-04-19, 224
13-04-20, 21
13-04-21, 99
13-04-22, 301
13-04-23, 262
13-04-24, 255
13-04-25, 245
13-04-26, 151
13-04-27, 21
13-04-28, 107
13-04-29, 274
13-04-30, 240
13-05-01, 202
13-05-02, 272
13-05-03, 203
13-05-04, 22
13-05-05, 78
13-05-06, 233
13-05-07, 250
13-05-08, 274
13-05-09, 238
13-05-10, 198
13-05-11, 26
13-05-12, 78
13-05-13, 196
13-05-14, 184
13-05-15, 249
13-05-16, 189
13-05-17, 149
13-05-18, 24
13-05-19, 68
13-05-20, 236
13-05-21, 223
13-05-22, 162
13-05-23, 191
13-05-24, 98
13-05-25, 21
13-05-26, 18
13-05-27, 97
13-05-28, 140
13-05-29, 128
13-05-30, 140
13-05-31, 105
13-06-01, 47
13-06-02, 56
13-06-03, 109
13-06-04, 117
13-06-05, 84
13-06-06, 79
13-06-07, 42
13-06-08, 12
13-06-09, 30
13-06-10, 60
13-06-11, 41
13-06-12, 68
13-06-13, 68
13-06-14, 20
13-06-15, 10
13-06-16, 18
13-06-17, 26
13-06-18, 27
13-06-19, 25
13-06-20, 31
13-06-21, 13
13-06-22, 3
13-06-23, 9
13-06-24, 38
13-06-25, 13
13-06-26, 39
13-06-27, 60
13-06-28, 6
13-06-29, 5
13-06-30, 2
13-07-01, 18
13-07-02, 8
13-07-03, 33
13-07-04, 2
13-07-05, 4
13-07-06, 1
13-07-07, 5
13-07-08, 39
13-07-09, 12
13-07-10, 38
13-07-11, 27
13-07-12, 134
13-07-13, 4
13-07-14, 10
13-07-15, 24
13-07-16, 29
13-07-17, 17
13-07-18, 11
13-07-19, 12
13-07-20, 8
13-07-21, 8
13-07-22, 25
13-07-23, 53
13-07-24, 25
13-07-25, 38
13-07-26, 3
13-07-27, 13
13-07-28, 33
13-07-29, 42
13-07-30, 12
13-07-31, 11
13-08-01, 23
13-08-02, 20
13-08-03, 15
13-08-04, 26
13-08-05, 65
13-08-06, 37
13-08-07, 72
13-08-08, 59
13-08-09, 71
13-08-10, 4
13-08-11, 17
13-08-12, 51
13-08-13, 42
13-08-14, 34
13-08-15, 9
13-08-16, 5
13-08-17, 5
13-08-18, 9
13-08-19, 24
13-08-20, 48
13-08-21, 32
13-08-22, 171
13-08-23, 34
13-08-24, 29
13-08-25, 48
13-08-26, 63
13-08-27, 91
13-08-28, 112
13-08-29, 71
13-08-30, 163
13-08-31, 5
13-09-01, 29
13-09-02, 20
13-09-03, 106
13-09-04, 116
13-09-05, 177
13-09-06, 118
13-09-07, 16
13-09-08, 23
13-09-09, 123
13-09-10, 239
13-09-11, 107
13-09-12, 205
13-09-13, 158
13-09-14, 40
13-09-15, 33
13-09-16, 150
13-09-17, 331
13-09-18, 157
13-09-19, 242
13-09-20, 119
13-09-21, 19
13-09-22, 36
13-09-23, 202
13-09-24, 291
13-09-25, 149
13-09-26, 221
13-09-27, 175
13-09-28, 22
13-09-29, 47
13-09-30, 161
13-10-01, 311
13-10-02, 256
13-10-03, 158
13-10-04, 140
13-10-05, 32
13-10-06, 69
13-10-07, 244
13-10-08, 234
13-10-09, 231
13-10-10, 269
13-10-11, 165
13-10-12, 15
13-10-13, 33
13-10-14, 173
13-10-15, 281
13-10-16, 258
13-10-17, 269
13-10-18, 174
13-10-19, 17
13-10-20, 97
13-10-21, 248
13-10-22, 251
13-10-23, 282
13-10-24, 258
13-10-25, 172
13-10-26, 18
13-10-27, 65
13-10-28, 267
13-10-29, 263
13-10-30, 266
13-10-31, 246
13-11-01, 160
13-11-02, 32
13-11-03, 63
13-11-04, 308
13-11-05, 347
13-11-06, 336
13-11-07, 242
13-11-08, 142
13-11-09, 18
13-11-10, 62
13-11-11, 177
13-11-12, 224
13-11-13, 297
13-11-14, 306
13-11-15, 266
13-11-16, 27
13-11-17, 49
13-11-18, 286
13-11-19, 304
13-11-20, 247
13-11-21, 209
13-11-22, 134
13-11-23, 34
13-11-24, 47
13-11-25, 275
13-11-26, 332
13-11-27, 61
13-11-28, 12
13-11-29, 15
13-11-30, 28
13-12-01, 72
13-12-02, 170
13-12-03, 271
13-12-04, 279
13-12-05, 231
13-12-06, 222
13-12-07, 18
13-12-08, 80
13-12-09, 243
13-12-10, 169
13-12-11, 227
13-12-12, 186
13-12-13, 215
13-12-14, 25
13-12-15, 44
13-12-16, 226
13-12-17, 170
13-12-18, 132
13-12-19, 145
13-12-20, 67
13-12-21, 4
13-12-22, 2
13-12-23, 3
13-12-24, 0
13-12-25, 1
13-12-26, 0
13-12-27, 6
13-12-28, 2
13-12-29, 8
13-12-30, 11
13-12-31, 4
14-01-01, 37
14-01-02, 48
14-01-03, 25
14-01-04, 22
14-01-05, 37
14-01-06, 60
14-01-07, 162
14-01-08, 138
14-01-09, 154
14-01-10, 186
14-01-11, 30
14-01-12, 76
14-01-13, 225
14-01-14, 261
14-01-15, 251
14-01-16, 255
14-01-17, 271
14-01-18, 20
14-01-19, 33
14-01-20, 101
14-01-21, 198
14-01-22, 168
14-01-23, 172
14-01-24, 174
14-01-25, 30
14-01-26, 49
14-01-27, 153
14-01-28, 212
14-01-29, 212
14-01-30, 293
14-01-31, 220
14-02-01, 17
14-02-02, 36
14-02-03, 250
14-02-04, 416
14-02-05, 256
14-02-06, 383
14-02-07, 291
14-02-08, 37
14-02-09, 68
14-02-10, 366
