Date, Expand_Button_Click, Research_Topic_Show, Search_Count, R/E
13-01-01, 18, 125, 4324, 0.0289084181314
13-01-02, 92, 560, 6815, 0.0821716801174
13-01-03, 262, 1065, 9472, 0.112436655405
13-01-04, 305, 1086, 8993, 0.120760591571
13-01-05, 43, 175, 5335, 0.0328022492971
13-01-06, 58, 293, 6058, 0.0483657972928
13-01-07, 282, 1323, 10794, 0.122568093385
13-01-08, 324, 1637, 12442, 0.13157048706
13-01-09, 342, 1899, 13552, 0.140126918536
13-01-10, 243, 1816, 13446, 0.135058753533
13-01-11, 229, 1505, 11404, 0.131971238162
13-01-12, 32, 195, 5566, 0.0350341358246
13-01-13, 59, 480, 7091, 0.0676914398533
13-01-14, 250, 1685, 12578, 0.133964064239
13-01-15, 276, 1678, 13930, 0.120459440057
13-01-16, 206, 1447, 12324, 0.11741317754
13-01-17, 258, 1711, 13483, 0.126900541423
13-01-18, 173, 1216, 10344, 0.117556071152
13-01-19, 12, 161, 5253, 0.030649152865
13-01-20, 27, 274, 5940, 0.0461279461279
13-01-21, 90, 522, 7558, 0.0690658904472
13-01-22, 203, 1631, 12310, 0.132493907392
13-01-23, 264, 1582, 13270, 0.119216277317
13-01-24, 233, 1509, 12404, 0.121654305063
13-01-25, 159, 1109, 10249, 0.108205678603
13-01-26, 20, 225, 6153, 0.0365675280351
13-01-27, 59, 451, 7883, 0.0572117214259
13-01-28, 213, 1450, 12324, 0.117656604998
13-01-29, 276, 1594, 13101, 0.121670101519
13-01-30, 298, 1933, 14895, 0.129775092313
13-01-31, 313, 1724, 12646, 0.136327692551
13-02-01, 163, 1169, 10501, 0.111322731168
13-02-02, 21, 211, 6236, 0.0338357921745
13-02-03, 53, 437, 7596, 0.0575302790943
13-02-04, 327, 1816, 13870, 0.130930064888
13-02-05, 370, 2203, 16670, 0.132153569286
13-02-06, 308, 2092, 15681, 0.133409859065
13-02-07, 493, 2315, 16114, 0.14366389475
13-02-08, 220, 1321, 10834, 0.121930958095
13-02-09, 36, 228, 6189, 0.0368395540475
13-02-10, 91, 596, 8244, 0.072295002426
13-02-11, 244, 1829, 17517, 0.104412856083
13-02-12, 382, 2189, 15999, 0.136821051316
13-02-13, 385, 2276, 15669, 0.145254962027
13-02-14, 291, 2077, 14984, 0.138614522157
13-02-15, 378, 1242, 10762, 0.115406058353
13-02-16, 43, 253, 5639, 0.0448661110126
13-02-17, 41, 382, 6706, 0.0569639129138
13-02-18, 162, 846, 9671, 0.0874780270913
13-02-19, 459, 1938, 15794, 0.122704824617
13-02-20, 416, 1931, 15616, 0.12365522541
13-02-21, 328, 1998, 14743, 0.135521942617
13-02-22, 258, 1496, 11936, 0.125335120643
13-02-23, 30, 245, 6311, 0.0388211060054
13-02-24, 124, 591, 8428, 0.0701233981965
13-02-25, 295, 2155, 15426, 0.139699209127
13-02-26, 332, 2047, 16075, 0.12734059098
13-02-27, 326, 2079, 15450, 0.134563106796
13-02-28, 329, 2138, 15933, 0.134186907676
13-03-01, 210, 1290, 11626, 0.110958197144
13-03-02, 44, 308, 6482, 0.0475161987041
13-03-03, 123, 743, 9056, 0.0820450530035
13-03-04, 288, 1811, 14492, 0.124965498206
13-03-05, 355, 2061, 14873, 0.138573253547
13-03-06, 256, 1735, 14127, 0.122814468748
13-03-07, 410, 2260, 15458, 0.146202613533
13-03-08, 223, 1460, 11330, 0.128861429832
13-03-09, 38, 226, 6131, 0.0368618496167
13-03-10, 74, 495, 7927, 0.062444808881
13-03-11, 279, 1820, 14104, 0.129041406693
13-03-12, 305, 1999, 15769, 0.126767708796
13-03-13, 265, 1823, 13817, 0.131938915828
13-03-14, 296, 1939, 14555, 0.133218825146
13-03-15, 172, 1306, 11234, 0.116254228236
13-03-16, 32, 221, 5922, 0.0373184734887
13-03-17, 72, 547, 8333, 0.065642625705
13-03-18, 264, 2015, 14867, 0.135535077689
13-03-19, 209, 1828, 14308, 0.127760693318
13-03-20, 300, 1826, 14061, 0.129862740915
13-03-21, 203, 1581, 13498, 0.117128463476
13-03-22, 184, 1230, 11045, 0.111362607515
13-03-23, 40, 224, 5894, 0.0380047505938
13-03-24, 66, 368, 7493, 0.0491125050047
13-03-25, 225, 1468, 12419, 0.118205974716
13-03-26, 317, 1694, 12934, 0.130972630277
13-03-27, 260, 1569, 12741, 0.123145749941
13-03-28, 184, 1135, 9469, 0.119864822051
13-03-29, 59, 407, 5915, 0.068808114962
13-03-30, 21, 194, 5138, 0.0377578824445
13-03-31, 33, 270, 5742, 0.0470219435737
13-04-01, 139, 931, 9677, 0.0962075023251
13-04-02, 260, 1588, 12272, 0.129400260756
13-04-03, 193, 1328, 11722, 0.113291247227
13-04-04, 199, 1408, 12186, 0.115542425734
13-04-05, 152, 1080, 9760, 0.110655737705
13-04-06, 34, 294, 5826, 0.0504634397528
13-04-07, 85, 478, 7262, 0.0658220875792
13-04-08, 242, 1643, 14039, 0.117031127573
13-04-09, 321, 2099, 15277, 0.137396085619
13-04-10, 301, 2283, 15234, 0.149862150453
13-04-11, 325, 2017, 14744, 0.136801410743
13-04-12, 250, 1422, 11357, 0.125209122127
13-04-13, 37, 248, 5684, 0.0436312456017
13-04-14, 70, 533, 4744, 0.112352445194
13-04-15, 239, 1715, 15189, 0.11291065903
13-04-16, 319, 2111, 15919, 0.132608832213
13-04-17, 342, 2060, 14888, 0.13836646964
13-04-18, 368, 1962, 14025, 0.139893048128
13-04-19, 224, 1329, 10339, 0.128542412226
13-04-20, 21, 173, 5636, 0.0306955287438
13-04-21, 99, 552, 7708, 0.0716139076284
13-04-22, 301, 1675, 13190, 0.126990144049
13-04-23, 262, 1594, 12898, 0.123585051946
13-04-24, 255, 1772, 12978, 0.136538757898
13-04-25, 245, 1689, 13587, 0.124310002208
13-04-26, 151, 1117, 10109, 0.110495597982
13-04-27, 21, 227, 5701, 0.0398175758639
13-04-28, 107, 537, 7770, 0.069111969112
13-04-29, 274, 1758, 13998, 0.12558936991
13-04-30, 240, 1539, 12665, 0.121515988946
13-05-01, 202, 1549, 12607, 0.122868247799
13-05-02, 272, 1562, 11962, 0.13058017054
13-05-03, 203, 1181, 9738, 0.121277469706
13-05-04, 22, 218, 5565, 0.0391734052111
13-05-05, 78, 579, 7765, 0.0745653573728
13-05-06, 233, 1486, 12182, 0.121983253981
13-05-07, 250, 1518, 12254, 0.123877917415
13-05-08, 274, 1528, 13947, 0.109557610956
13-05-09, 238, 1541, 12303, 0.125254003089
13-05-10, 198, 1088, 9233, 0.117838189104
13-05-11, 26, 223, 5566, 0.0400646784046
13-05-12, 78, 430, 6564, 0.0655088360756
13-05-13, 196, 1322, 11084, 0.119271021292
13-05-14, 184, 1470, 11282, 0.1302960468
13-05-15, 249, 1385, 10915, 0.126889601466
13-05-16, 189, 1351, 11125, 0.121438202247
13-05-17, 149, 1035, 8941, 0.115758863662
13-05-18, 24, 238, 5561, 0.0427980579033
13-05-19, 68, 488, 7131, 0.0684335997756
13-05-20, 236, 1285, 11507, 0.111671156687
13-05-21, 223, 1286, 11664, 0.110253772291
13-05-22, 162, 1069, 10400, 0.102788461538
13-05-23, 191, 1060, 9989, 0.106116728401
13-05-24, 98, 554, 7111, 0.0779074673042
13-05-25, 21, 186, 4951, 0.0375681680469
13-05-26, 18, 208, 5539, 0.0375519046759
13-05-27, 97, 471, 6974, 0.067536564382
13-05-28, 140, 919, 10196, 0.0901333856414
13-05-29, 128, 835, 9038, 0.092387696393
13-05-30, 140, 890, 8748, 0.101737540009
13-05-31, 105, 540, 6880, 0.078488372093
13-06-01, 47, 168, 5362, 0.0313315926893
13-06-02, 56, 332, 6670, 0.0497751124438
13-06-03, 109, 752, 8251, 0.0911404678221
13-06-04, 117, 639, 8001, 0.0798650168729
13-06-05, 84, 570, 7911, 0.0720515737581
13-06-06, 79, 538, 6899, 0.0779823162777
13-06-07, 42, 303, 5657, 0.0535619586353
13-06-08, 12, 148, 4925, 0.0300507614213
13-06-09, 30, 178, 5193, 0.0342769112267
13-06-10, 60, 367, 6553, 0.0560048832596
13-06-11, 41, 298, 6467, 0.046080098964
13-06-12, 68, 370, 6311, 0.0586277927428
13-06-13, 68, 350, 5880, 0.0595238095238
13-06-14, 20, 125, 4935, 0.0253292806484
13-06-15, 10, 91, 4643, 0.0195993969416
13-06-16, 18, 129, 4995, 0.0258258258258
13-06-17, 26, 151, 5324, 0.028362133734
13-06-18, 27, 234, 5516, 0.0424220449601
13-06-19, 25, 212, 5529, 0.0383432808826
13-06-20, 31, 221, 5302, 0.041682384006
13-06-21, 13, 126, 4626, 0.0272373540856
13-06-22, 3, 83, 4504, 0.0184280639432
13-06-23, 9, 105, 4693, 0.0223737481355
13-06-24, 38, 151, 5446, 0.0277267719427
13-06-25, 13, 172, 5848, 0.0294117647059
13-06-26, 39, 240, 5381, 0.0446013752091
13-06-27, 60, 182, 5199, 0.0350067320639
13-06-28, 6, 81, 4411, 0.0183631829517
13-06-29, 5, 38, 4179, 0.00909308446997
13-06-30, 2, 63, 4215, 0.0149466192171
13-07-01, 18, 98, 4793, 0.0204464844565
13-07-02, 8, 84, 4811, 0.0174599875286
13-07-03, 33, 223, 5210, 0.042802303263
13-07-04, 2, 42, 3840, 0.0109375
13-07-05, 4, 41, 4273, 0.0095951322256
13-07-06, 1, 51, 4231, 0.0120538879697
13-07-07, 5, 65, 4220, 0.0154028436019
13-07-08, 39, 164, 5215, 0.031447746884
13-07-09, 12, 149, 5498, 0.0271007639142
13-07-10, 38, 168, 5033, 0.0333796940195
13-07-11, 27, 233, 5108, 0.0456147220047
13-07-12, 134, 141, 4555, 0.0309549945115
13-07-13, 4, 60, 4405, 0.0136208853575
13-07-14, 10, 131, 4743, 0.0276196500105
13-07-15, 24, 212, 5463, 0.038806516566
13-07-16, 29, 143, 5389, 0.0265355353498
13-07-17, 17, 212, 5498, 0.0385594761732
13-07-18, 11, 153, 5027, 0.0304356475035
13-07-19, 12, 117, 4736, 0.0247043918919
13-07-20, 8, 101, 4676, 0.0215996578272
13-07-21, 8, 143, 5105, 0.0280117531832
13-07-22, 25, 171, 5525, 0.0309502262443
13-07-23, 53, 213, 5839, 0.036478849118
13-07-24, 25, 189, 5564, 0.0339683680805
13-07-25, 38, 212, 5221, 0.0406052480368
13-07-26, 3, 94, 4474, 0.0210102816272
13-07-27, 13, 99, 4947, 0.0200121285628
13-07-28, 33, 165, 5172, 0.0319025522042
13-07-29, 42, 195, 5562, 0.0350593311758
13-07-30, 12, 182, 5909, 0.0308004738534
13-07-31, 11, 192, 5415, 0.0354570637119
13-08-01, 23, 179, 5208, 0.0343701996928
13-08-02, 20, 97, 4554, 0.0212999560826
13-08-03, 15, 93, 4523, 0.0205615741764
13-08-04, 26, 132, 4891, 0.0269883459415
13-08-05, 65, 233, 5170, 0.0450676982592
13-08-06, 37, 194, 5440, 0.0356617647059
13-08-07, 72, 208, 5268, 0.039483675019
13-08-08, 59, 259, 5065, 0.0511352418559
13-08-09, 71, 162, 4881, 0.0331899200983
13-08-10, 4, 81, 4245, 0.0190812720848
13-08-11, 17, 91, 4649, 0.0195741019574
13-08-12, 51, 191, 5356, 0.0356609410007
13-08-13, 42, 166, 5642, 0.0294221907125
13-08-14, 34, 221, 5484, 0.040299051787
13-08-15, 9, 128, 4804, 0.0266444629475
13-08-16, 5, 124, 4414, 0.0280924331672
13-08-17, 5, 78, 4336, 0.0179889298893
13-08-18, 9, 109, 4607, 0.0236596483612
13-08-19, 24, 197, 5275, 0.037345971564
13-08-20, 48, 190, 5286, 0.0359440030269
13-08-21, 32, 263, 5526, 0.0475931958017
13-08-22, 171, 442, 5495, 0.0804367606915
13-08-23, 34, 221, 5136, 0.0430295950156
13-08-24, 29, 184, 6574, 0.0279890477639
13-08-25, 48, 247, 5165, 0.0478218780252
13-08-26, 63, 339, 6103, 0.0555464525643
13-08-27, 91, 396, 6150, 0.0643902439024
13-08-28, 112, 448, 6524, 0.068669527897
13-08-29, 71, 505, 6842, 0.0738088278281
13-08-30, 163, 474, 5851, 0.0810117928559
13-08-31, 5, 96, 4656, 0.020618556701
13-09-01, 29, 136, 5246, 0.0259245139154
13-09-02, 20, 164, 5328, 0.0307807807808
13-09-03, 106, 592, 7317, 0.0809074757414
13-09-04, 116, 809, 8195, 0.0987187309335
13-09-05, 177, 898, 7549, 0.118956153133
13-09-06, 118, 585, 6796, 0.0860800470865
13-09-07, 16, 143, 4928, 0.0290178571429
13-09-08, 23, 204, 5724, 0.0356394129979
13-09-09, 123, 820, 8157, 0.100527154591
13-09-10, 239, 1085, 8825, 0.122946175637
13-09-11, 107, 958, 8529, 0.112322663853
13-09-12, 205, 1281, 9430, 0.135843054083
13-09-13, 158, 1007, 7857, 0.128165966654
13-09-14, 40, 160, 4828, 0.03314001657
13-09-15, 33, 297, 6023, 0.0493109745974
13-09-16, 150, 1145, 10097, 0.113400019808
13-09-17, 331, 1394, 11973, 0.116428631087
13-09-18, 157, 980, 9618, 0.101892285298
13-09-19, 242, 1196, 10142, 0.117925458489
13-09-20, 119, 947, 8543, 0.110850989114
13-09-21, 19, 139, 4932, 0.0281832927818
13-09-22, 36, 325, 6143, 0.052905746378
13-09-23, 202, 1107, 10227, 0.108242886477
13-09-24, 291, 1673, 12441, 0.134474720682
13-09-25, 149, 1341, 11302, 0.118651566094
13-09-26, 221, 1246, 10537, 0.118249976274
13-09-27, 175, 887, 8050, 0.110186335404
13-09-28, 22, 181, 5021, 0.0360485958972
13-09-29, 47, 309, 6243, 0.0494954348871
13-09-30, 161, 1109, 10344, 0.107211910286
13-10-01, 311, 1725, 12112, 0.142420739762
13-10-02, 256, 1305, 10954, 0.119134562717
13-10-03, 158, 1701, 10808, 0.157383419689
13-10-04, 140, 972, 8630, 0.112630359212
13-10-05, 32, 169, 4897, 0.0345109250562
13-10-06, 69, 442, 6978, 0.0633419317856
13-10-07, 244, 1493, 10843, 0.13769252052
13-10-08, 234, 1516, 12118, 0.125103152335
13-10-09, 231, 1455, 12921, 0.112607383329
13-10-10, 269, 1675, 12661, 0.13229602717
13-10-11, 165, 1066, 9238, 0.115392942195
13-10-12, 15, 135, 4716, 0.0286259541985
13-10-13, 33, 311, 5946, 0.052304069963
13-10-14, 173, 1242, 10468, 0.118647306076
13-10-15, 281, 1521, 12391, 0.122750383343
13-10-16, 258, 1454, 13866, 0.104860810616
13-10-17, 269, 1641, 12445, 0.131860184813
13-10-18, 174, 1123, 9972, 0.112615322904
13-10-19, 17, 236, 5356, 0.0440627333831
13-10-20, 97, 516, 7358, 0.0701277521066
13-10-21, 248, 1566, 12353, 0.126770824901
13-10-22, 251, 1643, 13483, 0.121857153452
13-10-23, 282, 1724, 13983, 0.123292569549
13-10-24, 258, 1757, 13224, 0.132864488808
13-10-25, 172, 1194, 10306, 0.11585484184
13-10-26, 18, 223, 5313, 0.0419725202334
13-10-27, 65, 443, 7184, 0.0616648106904
13-10-28, 267, 1767, 12817, 0.137863774674
13-10-29, 263, 1703, 13516, 0.125998816218
13-10-30, 266, 1730, 14720, 0.117527173913
13-10-31, 246, 1509, 11953, 0.126244457458
13-11-01, 160, 960, 9386, 0.102279991477
13-11-02, 32, 276, 5779, 0.0477591278768
13-11-03, 63, 460, 7442, 0.0618113410374
13-11-04, 308, 1682, 14045, 0.119757920968
13-11-05, 347, 1903, 14220, 0.13382559775
13-11-06, 336, 1842, 14308, 0.1287391669
13-11-07, 242, 1650, 13143, 0.125542113673
13-11-08, 142, 1254, 10657, 0.117669137656
13-11-09, 18, 224, 5443, 0.0411537754915
13-11-10, 62, 477, 6895, 0.0691805656273
13-11-11, 177, 1060, 9565, 0.11082070047
13-11-12, 224, 1778, 14084, 0.126242544732
13-11-13, 297, 1810, 14815, 0.122173472832
13-11-14, 306, 1911, 14560, 0.13125
13-11-15, 266, 1471, 11489, 0.128035512229
13-11-16, 27, 212, 5683, 0.0373042407179
13-11-17, 49, 510, 7351, 0.0693783158754
13-11-18, 286, 1744, 14320, 0.121787709497
13-11-19, 304, 2095, 14997, 0.139694605588
13-11-20, 247, 1841, 14053, 0.131004056073
13-11-21, 209, 1547, 12907, 0.119857441698
13-11-22, 134, 1197, 10495, 0.114054311577
13-11-23, 34, 217, 5403, 0.0401628724783
13-11-24, 47, 428, 6996, 0.0611778158948
13-11-25, 275, 1599, 12407, 0.128878858709
13-11-26, 332, 1623, 11500, 0.141130434783
13-11-27, 61, 518, 7137, 0.0725795152025
13-11-28, 12, 116, 4077, 0.028452293353
13-11-29, 15, 202, 4737, 0.0426430230103
13-11-30, 28, 227, 5325, 0.0426291079812
13-12-01, 72, 514, 6981, 0.0736284199971
13-12-02, 170, 1438, 11475, 0.125315904139
13-12-03, 271, 1645, 12753, 0.12898925743
13-12-04, 279, 1596, 12974, 0.123015261292
13-12-05, 231, 1607, 12957, 0.124025623215
13-12-06, 222, 1171, 10421, 0.11236925439
13-12-07, 18, 183, 5337, 0.0342889263631
13-12-08, 80, 464, 7295, 0.0636052090473
13-12-09, 243, 1295, 11324, 0.114358883787
13-12-10, 169, 1160, 10722, 0.108188770752
13-12-11, 227, 1362, 11573, 0.117687721421
13-12-12, 186, 1461, 11648, 0.125429258242
13-12-13, 215, 1043, 9010, 0.115760266371
13-12-14, 25, 172, 4928, 0.0349025974026
13-12-15, 44, 400, 6482, 0.0617093489664
13-12-16, 226, 1285, 10505, 0.122322703475
13-12-17, 170, 1179, 9752, 0.120898277276
13-12-18, 132, 893, 8796, 0.101523419736
13-12-19, 145, 932, 8586, 0.108548800373
13-12-20, 67, 435, 5542, 0.0784915193071
13-12-21, 4, 58, 3793, 0.0152913261271
13-12-22, 2, 41, 3693, 0.0111020850257
13-12-23, 3, 59, 3596, 0.0164071190211
13-12-24, 0, 16, 3329, 0.00480624812256
13-12-25, 1, 23, 3320, 0.00692771084337
13-12-26, 0, 24, 3545, 0.00677009873061
13-12-27, 6, 64, 3590, 0.0178272980501
13-12-28, 2, 51, 3729, 0.0136765888978
13-12-29, 8, 71, 3693, 0.0192255618738
13-12-30, 11, 93, 3715, 0.0250336473755
13-12-31, 4, 62, 3643, 0.0170189404337
14-01-01, 37, 180, 3997, 0.0450337753315
14-01-02, 48, 299, 5175, 0.0577777777778
14-01-03, 25, 202, 4394, 0.0459717796996
14-01-04, 22, 161, 4123, 0.0390492359932
14-01-05, 37, 184, 4489, 0.0409890844286
14-01-06, 60, 571, 6221, 0.0917858865134
14-01-07, 162, 777, 7603, 0.102196501381
14-01-08, 138, 930, 9106, 0.102130463431
14-01-09, 154, 1341, 10295, 0.130257406508
14-01-10, 186, 1114, 8964, 0.124274877287
14-01-11, 30, 214, 4654, 0.0459819510099
14-01-12, 76, 470, 6260, 0.0750798722045
14-01-13, 225, 1584, 11165, 0.141871921182
14-01-14, 261, 1780, 12264, 0.14514024788
14-01-15, 251, 1533, 11410, 0.134355828221
14-01-16, 255, 1620, 11478, 0.141139571354
14-01-17, 271, 1430, 9733, 0.146922839823
14-01-18, 20, 140, 4261, 0.032856137057
14-01-19, 33, 233, 5034, 0.0462852602304
14-01-20, 101, 466, 6428, 0.0724953329185
14-01-21, 198, 1403, 9679, 0.144952991011
14-01-22, 168, 1180, 8986, 0.131315379479
14-01-23, 172, 1248, 10006, 0.124725164901
14-01-24, 174, 971, 8322, 0.116678683009
14-01-25, 30, 158, 4461, 0.0354180676978
14-01-26, 49, 429, 5751, 0.074595722483
14-01-27, 153, 996, 8811, 0.113040517535
14-01-28, 212, 1195, 9579, 0.124752061802
14-01-29, 212, 1398, 10317, 0.135504507124
14-01-30, 293, 1628, 11237, 0.144878526297
14-01-31, 220, 1069, 9313, 0.114785783314
14-02-01, 17, 259, 4891, 0.0529544060519
14-02-02, 36, 426, 6252, 0.0681381957774
14-02-03, 250, 1656, 11589, 0.142894123738
14-02-04, 416, 1855, 12446, 0.149043869516
14-02-05, 256, 1454, 10711, 0.135748296144
14-02-06, 383, 1909, 12923, 0.147721117388
14-02-07, 291, 1547, 11171, 0.138483573539
14-02-08, 37, 248, 4787, 0.05180697723
14-02-09, 68, 551, 7169, 0.0768586971684
14-02-10, 366, 2190, 14735, 0.148625721072
